"grid_id","co2_emission_km2"
1,0
2,0
3,2.0045532792946
4,0
5,0
6,0
7,0.985520000000058
8,0.40644674000152
9,0.735165219622701
10,0
11,3.38581675900625
12,0.766049999999963
13,0.696899999999966
14,0.386635576027129
15,0
16,0
17,0
18,0.61316000000003
19,0.638180000000031
20,0
21,0.27238
22,0
23,0
24,11.2964814466766
25,12.2066506134554
26,0.393429999999979
27,0.254109999999986
28,0.4612
29,2.11324126607479
30,1.3746314432137
31,0
32,3.6998867848705
33,0.711320000000036
34,0
35,1.15989
36,0.640956706326922
37,0
38,0
39,5.80463047634833
40,0
41,1.90098528948451
42,0.211209999999992
43,0.259020000000002
44,0.220930000000002
45,0
46,0
47,13.2619898427101
48,4.58675293826195
49,0
50,13.7090186622613
51,0.332600000000002
52,0.616860000000004
53,0.371370000000002
54,0
55,0.364014409462383
56,0
57,3.74345790779811
58,0
59,0.180966468948747
60,16.0182523945272
61,0
62,0.228419999999999
63,1.51737999999999
64,2.99334999999999
65,2.75881999999999
66,0.870534038068695
67,0
68,0
69,0
70,0.0841286068186259
71,0
72,0
73,0
74,0.310580000000016
75,0.221216077008453
76,0.326480000000016
77,0.903070000000002
78,0.211260000000001
79,0.340270000000001
80,5.27380000000001
81,0.505840000000001
82,5.20086484972153
83,0.280227481386333
84,0
85,0
86,0
87,0
88,0.0617737454067611
89,1.27103106974149
90,0
91,0
92,0
93,0
94,0
95,0
96,0.981276647370225
97,0.0272199999999987
98,1.95571999999991
99,0.392819999999981
100,0.831400000000003
101,0.229030000000001
102,0.270070000000001
103,1.34231
104,0.382140000000001
105,9.44360051074906
106,0.283297196969986
107,0.787098485849014
108,0
109,0
110,5.11070515999504
111,0
112,1.3188535688479
113,0.237619999999999
114,0.10318
115,0
116,0.812842071320805
117,0
118,0.248550000000014
119,0.127828560333213
120,0
121,1.00402919113569
122,0
123,0.445060000000024
124,1.94833000000011
125,0
126,0.199980000000001
127,0.220220000000002
128,0
129,0.313710000000002
130,0.241850000000002
131,0
132,0.319460000000002
133,0
134,0
135,0.1062
136,0
137,1.7174153764764
138,7.0023426517476
139,1.23271844349671
140,0.348719999999984
141,0
142,0
143,0.06152
144,0.04139
145,0.082220000000002
146,0.106930000000003
